what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1493040083696
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1493040083696
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1493040083696
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1493040083696
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1493040083697
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1493040083697
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1493040083698
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1493040083698
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1493040083698
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1493040083699
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1493040083699
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1493040083700
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1493040083700
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1493040083701
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1493040083701
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1493040083701
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1493040083702
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1493040083702
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1493040083702
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1493040083703
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1493040083703
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1493040083703
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1493040083704
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1493040083704
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1493040083704
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1493040083705
os,sysinfo,,,"macosx",1493040083707
arch,sysinfo,,,"x86_64",1493040083707
ws,sysinfo,,,"cocoa",1493040083707
locale,sysinfo,,,"en_US",1493040083707
processors,sysinfo,,,"8",1493040083707
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1493040083707
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1493040083707
java.specification.name,sysinfo,,,"Java Platform API Specification",1493040083707
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1493040083707
java.specification.version,sysinfo,,,"1.6",1493040083707
java.vendor,sysinfo,,,"Apple Inc.",1493040083707
java.version,sysinfo,,,"1.6.0_65",1493040083707
java.vm.info,sysinfo,,,"mixed mode",1493040083707
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1493040083707
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1493040083707
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1493040083707
java.vm.specification.version,sysinfo,,,"1.0",1493040083707
java.vm.vendor,sysinfo,,,"Apple Inc.",1493040083707
java.vm.version,sysinfo,,,"20.65-b04-468",1493040083707
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493040083814
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1493040088051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493040088077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493040092690
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1493040092735
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1493040092739
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493040092742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493040093726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493040094741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493040095567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493040095691
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1493040095706
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1493040095711
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1493040095724
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1493040096186
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1493040096186
