what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1493067485378
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1493067485379
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1493067485380
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1493067485380
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1493067485381
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1493067485387
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1493067485387
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1493067485388
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1493067485388
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1493067485388
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1493067485389
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1493067485389
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1493067485390
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1493067485390
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1493067485391
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1493067485392
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1493067485392
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1493067485392
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1493067485393
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1493067485394
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1493067485394
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1493067485394
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1493067485394
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1493067485395
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1493067485396
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1493067485396
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1493067485397
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1493067485397
os,sysinfo,,,"macosx",1493067485399
arch,sysinfo,,,"x86_64",1493067485399
ws,sysinfo,,,"cocoa",1493067485399
locale,sysinfo,,,"en_US",1493067485399
processors,sysinfo,,,"8",1493067485399
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1493067485399
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1493067485400
java.specification.name,sysinfo,,,"Java Platform API Specification",1493067485400
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1493067485400
java.specification.version,sysinfo,,,"1.6",1493067485400
java.vendor,sysinfo,,,"Apple Inc.",1493067485400
java.version,sysinfo,,,"1.6.0_65",1493067485400
java.vm.info,sysinfo,,,"mixed mode",1493067485400
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1493067485400
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1493067485400
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1493067485400
java.vm.specification.version,sysinfo,,,"1.0",1493067485400
java.vm.vendor,sysinfo,,,"Apple Inc.",1493067485400
java.vm.version,sysinfo,,,"20.65-b04-468",1493067485400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067487195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067488875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067491093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067492737
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067496475
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067505534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493067526668
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493067527484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493067527854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493067528157
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1493067589698
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067617008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067621355
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493067641975
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1493067704184
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1493067704247
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1493067704254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067704289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067704429
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1493067704450
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1493067704460
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493067704466
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1493067704473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067704515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067704777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067706716
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1493067711181
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1493067711182
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1493067711182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493067756592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069475051
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493069489117
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1493069491582
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1493069491596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493069491686
