what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044433171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044443668
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493044448297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044448409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044453707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044464305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1493044468204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044475816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044484086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044493417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493044500984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493044501875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044504821
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493044507797
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493044507817
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493044509744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044514379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044514412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493044519328
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1493044519354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1493044519354
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493044521089
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493044523797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493044526160
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493044527218
