what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1493046000141
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object Writing Text Files",1493046000141
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1493046000179
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object Writing Text Files",1493046000179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046003232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046004690
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493046004729
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493046008146
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493046034686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046036383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046043782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1493046043824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046060971
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493046070645
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493046070674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046070920
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493046070931
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493046080418
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1493046084570
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493046093680
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1493046106102
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493046110670
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493046127069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493046128905
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493046159027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1493046164909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1493046166021
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1493046167506
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493046204581
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493046206618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493046208075
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493046213455
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493046214563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493046266996
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493046275416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046277116
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493046280880
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493046280895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046280917
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493046280926
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493046283349
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493046283746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493046284610
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1493046285305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493046285606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493046286184
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493046286779
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493046364850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046369615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046370570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046372261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046372401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046375506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046380306
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1493046386493
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493046389383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046404997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046414485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493046415334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493046415948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046417391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046417629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046418649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493046431979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046444169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046447523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493046450614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493046458577
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493046461511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046471624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046478951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493046482849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493046483487
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493046485760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046485764
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046486033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493046486715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493046492195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493046492430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493046492601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493046492768
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1493046498614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493046500132
