what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493042629920
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493042633860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042636540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042669473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042699860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042731748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042840055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042841941
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493042850314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042872963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042873213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042874166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042874978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042876247
error,log,,,"The program file specified in the launch configuration does not exist",1493042876286
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042876333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042877620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042885273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042885510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042886566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042904182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042904427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042905399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042922157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042922393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042923549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042927859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042928093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042929047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042929764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042930883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1493042931553
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1493042931901
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042947283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042956237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042999713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493042999960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043001196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043002013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043003680
error,log,,,"The program file specified in the launch configuration does not exist",1493043003721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043003771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043004861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043013180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043013424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043014314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043015260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043016238
error,log,,,"The program file specified in the launch configuration does not exist",1493043016282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043016334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043017439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043020433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043020675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493043021731
