what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493140167806
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493140186493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493140192379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140194409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140194575
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493140194583
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493140196388
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493140197333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140203156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140223644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493140245038
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493140246785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140248112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140249506
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493140250890
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1493140255306
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493140260997
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1493140263782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493140271527
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493140273160
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493140285515
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.open.quick.macro.explorer",1493140287402
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1493140289604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140289725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140293535
executed,command,org.eclipse.mylyn.tasks.search,,"org.eclipse.mylyn.tasks.ui.command.searchForTask",1493140293571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140295292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140295368
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493140296889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140321275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140397042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1493140444120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493140445130
